                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.2551,                 1.2788,                 1.5485,                      1,                 0.7291,                0.81379,                0.66557,                 1.0147,                 1.2578,                 1.5964,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.1111,                 1.0807,                 1.4934,                0.82716,                   0.75,                 0.7801,                0.61668,                 1.0325,                 1.2626,                 1.6296,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.1804,                 1.1235,                 1.4887,                0.82716,                   0.75,                 0.7801,                0.61668,                 1.0325,                 1.2626,                 1.6296,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.2155,                 1.1093,                  1.571,                0.73155,                  0.625,                0.72966,                 0.5367,                 1.0465,                 1.1794,                 1.6304,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.2561,                 1.1795,                 1.5766,                0.73155,                  0.625,                0.72966,                 0.5367,                 1.0465,                 1.1794,                 1.6304,               0.000614,               0.000614,               0.000614
                     73,                 1.2549,                 1.1509,                 1.5254,                0.60693,                  0.625,                0.68981,                0.55243,                0.96454,                 1.2276,                 1.5769,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.1175,                 1.1006,                  1.456,                0.60693,                  0.625,                0.68981,                0.55243,                0.96454,                 1.2276,                 1.5769,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.2771,                  1.187,                 1.5102,                0.52355,                  0.875,                0.66868,                0.53581,                 1.0636,                 1.3129,                 1.6315,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.2223,                  1.064,                 1.5955,                0.52355,                  0.875,                0.66868,                0.53581,                 1.0636,                 1.3129,                 1.6315,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.1305,                0.99838,                 1.5184,                0.83292,                0.62343,                0.70304,                0.47491,                 1.3062,                 1.3647,                 1.7835,               0.000515,               0.000515,               0.000515
                     78,                 1.0618,                 1.0314,                 1.3787,                0.83292,                0.62343,                0.70304,                0.47491,                 1.3062,                 1.3647,                 1.7835,              0.0004952,              0.0004952,              0.0004952
                     79,                   1.18,                 1.1379,                 1.5031,                0.80619,                  0.625,                0.72464,                0.50003,                 1.3151,                 1.2809,                 1.7963,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.1506,                 0.9944,                 1.4529,                0.80619,                  0.625,                0.72464,                0.50003,                 1.3151,                 1.2809,                 1.7963,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.1363,                0.98775,                 1.4561,                 0.8171,                  0.625,                0.74297,                0.55786,                 1.0507,                 1.2553,                 1.5802,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.1008,                0.89105,                  1.412,                 0.8171,                  0.625,                0.74297,                0.55786,                 1.0507,                 1.2553,                 1.5802,               0.000416,               0.000416,               0.000416
                     83,                 1.0613,                 1.0015,                 1.4267,                0.85012,                   0.75,                0.79828,                0.63372,                 1.0077,                 1.1056,                 1.5882,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.0469,                0.97755,                 1.3828,                0.85012,                   0.75,                0.79828,                0.63372,                 1.0077,                 1.1056,                 1.5882,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.0578,                0.91912,                 1.3809,                 0.8339,                   0.75,                0.79379,                0.60493,                 1.0233,                 1.0576,                 1.6005,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.0444,                0.95774,                 1.3864,                 0.8339,                   0.75,                0.79379,                0.60493,                 1.0233,                 1.0576,                 1.6005,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.1179,                 1.0659,                 1.4923,                      1,                0.73348,                0.81167,                0.63386,                 1.0449,                 1.0675,                 1.6193,               0.000317,               0.000317,               0.000317
                     88,                 1.0229,                0.90734,                  1.384,                      1,                0.73348,                0.81167,                0.63386,                 1.0449,                 1.0675,                 1.6193,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.1354,                 1.0723,                 1.4771,                      1,                0.73659,                0.80535,                0.66028,                 1.0173,                 1.0831,                 1.6212,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.1572,                0.82842,                 1.4146,                      1,                0.73659,                0.80535,                0.66028,                 1.0173,                 1.0831,                 1.6212,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.1192,                0.94897,                 1.6858,                      1,                0.74194,                0.80833,                0.66052,                0.99366,                0.97765,                 1.5954,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.0921,                0.97392,                 1.5387,                      1,                0.74194,                0.80833,                0.66052,                0.99366,                0.97765,                 1.5954,               0.000218,               0.000218,               0.000218
                     93,                0.96195,                0.81583,                 1.3989,                      1,                 0.7305,                0.81727,                0.64911,                 1.0173,                 1.0651,                 1.6346,              0.0001982,              0.0001982,              0.0001982
                     94,                0.91666,                0.87468,                 1.5497,                      1,                 0.7305,                0.81727,                0.64911,                 1.0173,                 1.0651,                 1.6346,              0.0001784,              0.0001784,              0.0001784
                     95,                0.91989,                0.84034,                 1.4485,                0.83805,                   0.75,                0.81455,                 0.6392,                 1.0237,                  1.044,                 1.6476,              0.0001586,              0.0001586,              0.0001586
                     96,                0.87716,                0.76329,                 1.3945,                0.83805,                   0.75,                0.81455,                 0.6392,                 1.0237,                  1.044,                 1.6476,              0.0001388,              0.0001388,              0.0001388
                     97,                0.88177,                0.79806,                 1.4414,                0.83961,                   0.75,                0.82509,                0.64244,                 1.0161,                0.99855,                 1.6482,               0.000119,               0.000119,               0.000119
                     98,                0.94957,                0.84275,                 1.5795,                0.83961,                   0.75,                0.82509,                0.64244,                 1.0161,                0.99855,                 1.6482,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.86633,                0.73744,                 1.3597,                0.84172,                   0.75,                0.82454,                0.64429,                  1.013,                0.97534,                 1.6621,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.79723,                 0.6943,                 1.3381,                0.84172,                   0.75,                0.82454,                0.64429,                  1.013,                0.97534,                 1.6621,               5.96e-05,               5.96e-05,               5.96e-05
